"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-69278","Cell Cycle, Mitotic","89/494","499/8772",1.03085354016541e-23,8.14374296730677e-21,7.30278350032972e-21,"Ccnb2/Pold3/Mcm2/Ndc80/Cdca5/Cenpu/Cenpa/B9d2/Pole/Ercc6l/Ccna2/Tubb4a/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Kif20a/Pold2/Cenpe/Gmnn/Ncapg/Cenpk/Kif23/Anapc10/Cdc20/Mis12/Plk4/Spc24/Ndel1/Pola2/Ncaph/Nup37/Aurkb/Ncapd2/Mcm4/Spdl1/Lig1/Lmnb1/Mcm3/Plk1/Ppp2r5b/Cenpn/Cep70/Incenp/Cdc25c/Haus2/Skp2/Ska1/Cdc45/Bora/Mcm6/Birc5/Cep135/Bub1/Kntc1/Rpa3/Rfc3/H2bc8/Mad2l1/Cep72/Cdt1/Cdkn1a/Aurka/E2f2/Ppp2r2a/Gtse1/Smc4/Fzr1/Hmmr/Ccne1/Hdac8/Cks1b/H2ac11/Rfc4/Rfc5/Tubb1/Tubb6/Cdk1/Mastl/Itgb3bp/Cenph/H2bc13/H2bc4/H2bc3/Rbl1/Nde1/H2bc7",89
"R-MMU-2500257","Resolution of Sister Chromatid Cohesion","39/494","118/8772",1.80929220460399e-20,7.14670420818577e-18,6.40870344051835e-18,"Ccnb2/Ndc80/Cdca5/Cenpu/Cenpa/B9d2/Ercc6l/Tubb4a/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Spdl1/Plk1/Ppp2r5b/Cenpn/Incenp/Ska1/Birc5/Bub1/Kntc1/Mad2l1/Hdac8/Tubb1/Tubb6/Cdk1/Itgb3bp/Cenph/Nde1",39
"R-MMU-68877","Mitotic Prometaphase","48/494","189/8772",1.69760992860313e-19,4.47037281198824e-17,4.0087420419295e-17,"Ccnb2/Ndc80/Cdca5/Cenpu/Cenpa/B9d2/Ercc6l/Tubb4a/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Ncapg/Cenpk/Cdc20/Mis12/Plk4/Spc24/Ndel1/Ncaph/Nup37/Aurkb/Ncapd2/Spdl1/Plk1/Ppp2r5b/Cenpn/Cep70/Incenp/Haus2/Ska1/Birc5/Cep135/Bub1/Kntc1/Mad2l1/Cep72/Smc4/Hdac8/Tubb1/Tubb6/Cdk1/Itgb3bp/Cenph/Nde1",48
"R-MMU-141424","Amplification of signal from the kinetochores","32/494","91/8772",6.5650956058875e-18,1.03728510573023e-15,9.30170387949956e-16,"Ndc80/Cenpu/Cenpa/B9d2/Ercc6l/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Spdl1/Plk1/Ppp2r5b/Cenpn/Incenp/Ska1/Birc5/Bub1/Kntc1/Mad2l1/Itgb3bp/Cenph/Nde1",32
"R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","32/494","91/8772",6.5650956058875e-18,1.03728510573023e-15,9.30170387949956e-16,"Ndc80/Cenpu/Cenpa/B9d2/Ercc6l/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Spdl1/Plk1/Ppp2r5b/Cenpn/Incenp/Ska1/Birc5/Bub1/Kntc1/Mad2l1/Itgb3bp/Cenph/Nde1",32
"R-MMU-5663220","RHO GTPases Activate Formins","37/494","132/8772",8.64869542083714e-17,1.13874489707689e-14,1.02115298565323e-14,"Ndc80/Cenpu/Cenpa/B9d2/Ercc6l/Tubb4a/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Spdl1/Plk1/Ppp2r5b/Cenpn/Incenp/Ska1/Birc5/Bub1/Kntc1/Fmnl3/Mad2l1/Tubb1/Tubb6/Itgb3bp/Cenph/Diaph3/Nde1",37
"R-MMU-69620","Cell Cycle Checkpoints","55/494","281/8772",1.21371651669665e-16,1.36976578312908e-14,1.22831761764939e-14,"Ccnb2/Mcm2/Ndc80/Cenpu/Cenpa/B9d2/Ercc6l/Ccna2/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Anapc10/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Mcm4/Spdl1/Mcm3/Plk1/Ppp2r5b/Cenpn/Incenp/Cdc25c/Ska1/Cdc45/Mcm6/Birc5/Bub1/Kntc1/Rpa3/Rfc3/H2bc8/Mad2l1/Cdkn1a/Uimc1/Gtse1/Ccne1/Rfc4/Rfc5/Cdk1/Itgb3bp/Cenph/H2bc13/H2bc4/H2bc3/Nde1/H2bc7",55
"R-MMU-194315","Signaling by Rho GTPases","70/494","428/8772",1.45270363980738e-16,1.43454484430979e-14,1.28640730209259e-14,"Ndc80/Arhgap11a/Cenpu/Cenpa/B9d2/Racgap1/Ercc6l/Cftr/A2m/Tubb4a/Spc25/Iqgap3/Kif2c/Arhgef3/Bub1b/Nuf2/Arhgap32/Rps27/Cdca8/Arhgef10/Cenpe/Cenpk/Cdc20/Mis12/Spc24/Ndel1/Arhgap25/Nup37/Prc1/Aurkb/Arhgap8/Spdl1/Arhgef18/Plk1/Ppp2r5b/Cenpn/Incenp/Cdc25c/Cit/Ska1/Vav2/Birc5/Gmip/Bub1/Kntc1/Kif14/H2bc8/Fmnl3/Mad2l1/Depdc1b/Ncf1/Arhgap20/Ect2/Noxo1/H2ac11/Tubb1/Tubb6/Myh9/Itgb3bp/Cenph/H2bc13/H2bc4/Btk/H2bc3/Diaph3/Nde1/Bcr/Arhgap30/Srgap3/H2bc7",70
"R-MMU-69618","Mitotic Spindle Checkpoint","33/494","107/8772",1.81849333787638e-16,1.59623304102482e-14,1.43139884957989e-14,"Ndc80/Cenpu/Cenpa/B9d2/Ercc6l/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Anapc10/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Spdl1/Plk1/Ppp2r5b/Cenpn/Incenp/Ska1/Birc5/Bub1/Kntc1/Mad2l1/Itgb3bp/Cenph/Nde1",33
"R-MMU-68886","M Phase","60/494","381/8772",1.55069583679379e-13,1.15031303460812e-11,1.03152654535811e-11,"Ccnb2/Ndc80/Cdca5/Cenpu/Cenpa/B9d2/Ercc6l/Tubb4a/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Kif20a/Cenpe/Ncapg/Cenpk/Kif23/Anapc10/Cdc20/Mis12/Plk4/Spc24/Ndel1/Ncaph/Nup37/Aurkb/Ncapd2/Spdl1/Lmnb1/Plk1/Ppp2r5b/Cenpn/Cep70/Incenp/Haus2/Ska1/Birc5/Cep135/Bub1/Kntc1/H2bc8/Mad2l1/Cep72/Ppp2r2a/Smc4/Hdac8/H2ac11/Tubb1/Tubb6/Cdk1/Mastl/Itgb3bp/Cenph/H2bc13/H2bc4/H2bc3/Nde1/H2bc7",60
"R-MMU-195258","RHO GTPase Effectors","53/494","310/8772",1.60170169375814e-13,1.15031303460812e-11,1.03152654535811e-11,"Ndc80/Cenpu/Cenpa/B9d2/Ercc6l/Cftr/Tubb4a/Spc25/Iqgap3/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Cdc20/Mis12/Spc24/Ndel1/Nup37/Prc1/Aurkb/Spdl1/Plk1/Ppp2r5b/Cenpn/Incenp/Cdc25c/Cit/Ska1/Birc5/Bub1/Kntc1/Kif14/H2bc8/Fmnl3/Mad2l1/Ncf1/Noxo1/H2ac11/Tubb1/Tubb6/Myh9/Itgb3bp/Cenph/H2bc13/H2bc4/Btk/H2bc3/Diaph3/Nde1/H2bc7",53
"R-MMU-68882","Mitotic Anaphase","40/494","192/8772",2.65124580918025e-13,1.74540349104367e-11,1.56516528910378e-11,"Ndc80/Cdca5/Cenpu/Cenpa/B9d2/Ercc6l/Tubb4a/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Anapc10/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Spdl1/Lmnb1/Plk1/Ppp2r5b/Cenpn/Incenp/Ska1/Birc5/Bub1/Kntc1/Mad2l1/Ppp2r2a/Hdac8/Tubb1/Tubb6/Itgb3bp/Cenph/Nde1",40
"R-MMU-2555396","Mitotic Metaphase and Anaphase","40/494","193/8772",3.17286842827831e-13,1.92812773718451e-11,1.72902060909417e-11,"Ndc80/Cdca5/Cenpu/Cenpa/B9d2/Ercc6l/Tubb4a/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Anapc10/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Spdl1/Lmnb1/Plk1/Ppp2r5b/Cenpn/Incenp/Ska1/Birc5/Bub1/Kntc1/Mad2l1/Ppp2r2a/Hdac8/Tubb1/Tubb6/Itgb3bp/Cenph/Nde1",40
"R-MMU-2467813","Separation of Sister Chromatids","38/494","182/8772",1.00022377688589e-12,5.64411988385611e-11,5.06128272063313e-11,"Ndc80/Cdca5/Cenpu/Cenpa/B9d2/Ercc6l/Tubb4a/Spc25/Kif2c/Bub1b/Nuf2/Rps27/Cdca8/Cenpe/Cenpk/Anapc10/Cdc20/Mis12/Spc24/Ndel1/Nup37/Aurkb/Spdl1/Plk1/Ppp2r5b/Cenpn/Incenp/Ska1/Birc5/Bub1/Kntc1/Mad2l1/Hdac8/Tubb1/Tubb6/Itgb3bp/Cenph/Nde1",38
"R-MMU-73886","Chromosome Maintenance","22/494","109/8772",1.26847819262697e-07,6.68065181450205e-06,5.99077770974001e-06,"Pold3/Cenpu/Cenpa/Pole/Mis18bp1/Pold2/Cenpk/Pola2/Lig1/Cenpn/Rpa3/Rfc3/H2bc8/H2ac11/Rfc4/Rfc5/Itgb3bp/Cenph/H2bc13/H2bc4/H2bc3/H2bc7",22
"R-MMU-983189","Kinesins","14/494","52/8772",6.55038579956524e-07,3.23425298853534e-05,2.90026950204435e-05,"Racgap1/Kif15/Tubb4a/Kif2c/Kif4/Kif18b/Kif11/Kif20a/Cenpe/Kif23/Kif22/Kifc1/Tubb1/Tubb6",14
"R-MMU-69306","DNA Replication","22/494","123/8772",1.13823739793753e-06,5.28945614335673e-05,4.74324315053842e-05,"Pold3/Mcm2/Pole/Ccna2/Pold2/Gmnn/Anapc10/Pola2/Mcm4/Lig1/Mcm3/Skp2/Cdc45/Mcm6/Rpa3/Rfc3/Cdt1/E2f2/Fzr1/Ccne1/Rfc4/Rfc5",22
"R-MMU-174417","Telomere C-strand (Lagging Strand) Synthesis","9/494","22/8772",1.36345564773024e-06,5.98405534281604e-05,5.36611491767514e-05,"Pold3/Pole/Pold2/Pola2/Lig1/Rpa3/Rfc3/Rfc4/Rfc5",9
"R-MMU-69186","Lagging Strand Synthesis","8/494","18/8772",2.53376916545273e-06,0.000105351454774087,9.44723904902874e-05,"Pold3/Pold2/Pola2/Lig1/Rpa3/Rfc3/Rfc4/Rfc5",8
"R-MMU-68962","Activation of the pre-replicative complex","10/494","30/8772",3.16605286988247e-06,0.000121805652728517,0.000109227454079003,"Mcm2/Pole/Gmnn/Pola2/Mcm4/Mcm3/Cdc45/Mcm6/Rpa3/Cdt1",10
"R-MMU-180786","Extension of Telomeres","9/494","24/8772",3.23787178139095e-06,0.000121805652728517,0.000109227454079003,"Pold3/Pole/Pold2/Pola2/Lig1/Rpa3/Rfc3/Rfc4/Rfc5",9
"R-MMU-5651801","PCNA-Dependent Long Patch Base Excision Repair","8/494","19/8772",4.16201531382719e-06,0.000149454186269249,0.00013402087589501,"Pold3/Pole/Pold2/Lig1/Rpa3/Rfc3/Rfc4/Rfc5",8
"R-MMU-110373","Resolution of AP sites via the multiple-nucleotide patch replacement pathway","8/494","21/8772",1.01349308658067e-05,0.000348112842782058,0.000312165147491439,"Pold3/Pole/Pold2/Lig1/Rpa3/Rfc3/Rfc4/Rfc5",8
"R-MMU-176187","Activation of ATR in response to replication stress","10/494","34/8772",1.12636251711655e-05,0.000370760995217532,0.000332474550008526,"Mcm2/Mcm4/Mcm3/Cdc25c/Cdc45/Mcm6/Rpa3/Rfc3/Rfc4/Rfc5",10
"R-MMU-69242","S Phase","22/494","142/8772",1.30472562441751e-05,0.000412293297315933,0.000369718040098098,"Pold3/Mcm2/Cdca5/Pole/Ccna2/Pold2/Anapc10/Pola2/Mcm4/Lig1/Mcm3/Skp2/Mcm6/Rpa3/Rfc3/Cdt1/Cdkn1a/Fzr1/Ccne1/Cks1b/Rfc4/Rfc5",22
"R-MMU-69190","DNA strand elongation","8/494","22/8772",1.51472024189933e-05,0.000460241919654028,0.000412715272387956,"Pold3/Pold2/Pola2/Lig1/Rpa3/Rfc3/Rfc4/Rfc5",8
"R-MMU-69239","Synthesis of DNA","19/494","115/8772",2.00375620807254e-05,0.000586284223843448,0.000525741882274005,"Pold3/Mcm2/Pole/Ccna2/Pold2/Anapc10/Pola2/Mcm4/Lig1/Mcm3/Skp2/Mcm6/Rpa3/Rfc3/Cdt1/Fzr1/Ccne1/Rfc4/Rfc5",19
"R-MMU-73933","Resolution of Abasic Sites (AP sites)","9/494","32/8772",4.6321528245601e-05,0.00130692883264374,0.00117196949283043,"Pold3/Pole/Pold2/Lig1/Rpa3/Rfc3/Rfc4/Rfc5/Neil1",9
"R-MMU-73884","Base Excision Repair","16/494","93/8772",5.41915889990131e-05,0.00147625363135243,0.00132380905249858,"Pold3/Pole/Pold2/Lig1/Neil3/Rpa3/Rfc3/H2bc8/H2ac11/Rfc4/Rfc5/H2bc13/H2bc4/Neil1/H2bc3/H2bc7",16
"R-MMU-157579","Telomere Maintenance","15/494","84/8772",5.91677060593888e-05,0.00150890533845593,0.00135308899770932,"Pold3/Pole/Pold2/Pola2/Lig1/Rpa3/Rfc3/H2bc8/H2ac11/Rfc4/Rfc5/H2bc13/H2bc4/H2bc3/H2bc7",15
"R-MMU-174411","Polymerase switching on the C-strand of the telomere","6/494","14/8772",6.3030222998792e-05,0.00150890533845593,0.00135308899770932,"Pold3/Pold2/Pola2/Rfc3/Rfc4/Rfc5",6
"R-MMU-69091","Polymerase switching","6/494","14/8772",6.3030222998792e-05,0.00150890533845593,0.00135308899770932,"Pold3/Pold2/Pola2/Rfc3/Rfc4/Rfc5",6
