"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-69278","Cell Cycle, Mitotic","85/524","499/8772",1.55368041876834e-19,1.24294433501467e-16,1.08103448084829e-16,"Rfc5/Ccnb2/Mcm6/Bub1b/Cdc25c/Cdc6/Tubb2a/Cdk1/Ncapd2/Mastl/Anapc15/Kif18a/Fbxo5/Ccna2/Cenpm/Kif23/Cdca5/Ercc6l/Prim1/Lmnb1/Nuf2/Gins2/Mcm10/Bora/Skp2/Cenpf/Xpo1/Lig1/Plk1/Rpa3/Aurkb/H2bc13/Ncaph/Cks1b/Itgb3bp/Pcna/Cep135/H2afx/Haus4/Sgo2a/Mad2l1/Prim2/Nup37/Nup107/Psmb3/H4c12/Cenpe/Pola2/Mcm5/Pttg1/Fzr1/H2bc12/Haus8/Rfc3/Cdca8/Tpx2/Cenpa/Pmf1/Cep152/Nup43/Aurka/Gtse1/Ccnb1/Cenpk/Mcm4/Gmnn/Spc24/Hist1h2an/Haus1/Psmb11/Gins1/Tubb5/Ncapg/H3c4/B9d2/Sgo1/Ndc80/Pole3/Mcm3/Birc5/Incenp/H2ac10/Cdc20/Ube2c/Kif20a",85
"R-MMU-69620","Cell Cycle Checkpoints","58/524","281/8772",1.98590160640613e-17,7.94360642562451e-15,6.90884716754974e-15,"Rfc5/Ccnb2/Mcm6/Bub1b/Cdc25c/Cdc6/Cdk1/Anapc15/Kif18a/Ccna2/Cenpm/Ercc6l/Nuf2/Mcm10/Cenpf/Bard1/Xpo1/Plk1/Rpa3/Aurkb/H2bc13/Itgb3bp/Zfp385a/H2afx/Sgo2a/Mad2l1/Nup37/Nup107/Psmb3/Exo1/H4c12/Cenpe/Mcm5/Sfn/H2bc12/Rfc3/Cdca8/Cenpa/Pmf1/Nup43/Gtse1/Clspn/Ccnb1/Cenpk/Mcm4/Spc24/Psmb11/B9d2/Sgo1/Ndc80/Mcm3/Birc5/Incenp/Mre11a/Cdc20/Topbp1/Ube2c/Uimc1",58
"R-MMU-2500257","Resolution of Sister Chromatid Cohesion","32/524","118/8772",1.61926783459435e-13,4.31804755891827e-11,3.75556504795391e-11,"Ccnb2/Bub1b/Tubb2a/Cdk1/Kif18a/Cenpm/Cdca5/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Itgb3bp/Sgo2a/Mad2l1/Nup37/Nup107/Cenpe/Cdca8/Cenpa/Pmf1/Nup43/Ccnb1/Cenpk/Spc24/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20",32
"R-MMU-68877","Mitotic Prometaphase","41/524","189/8772",2.26463742043144e-13,4.52927484086288e-11,3.9392771971189e-11,"Ccnb2/Bub1b/Tubb2a/Cdk1/Ncapd2/Kif18a/Cenpm/Cdca5/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Ncaph/Itgb3bp/Cep135/Haus4/Sgo2a/Mad2l1/Nup37/Nup107/Cenpe/Haus8/Cdca8/Cenpa/Pmf1/Cep152/Nup43/Ccnb1/Cenpk/Spc24/Haus1/Tubb5/Ncapg/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20",41
"R-MMU-141424","Amplification of signal from the kinetochores","27/524","91/8772",1.26549458891084e-12,1.68732611854778e-10,1.46752968994748e-10,"Bub1b/Kif18a/Cenpm/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Itgb3bp/Sgo2a/Mad2l1/Nup37/Nup107/Cenpe/Cdca8/Cenpa/Pmf1/Nup43/Cenpk/Spc24/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20",27
"R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","27/524","91/8772",1.26549458891084e-12,1.68732611854778e-10,1.46752968994748e-10,"Bub1b/Kif18a/Cenpm/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Itgb3bp/Sgo2a/Mad2l1/Nup37/Nup107/Cenpe/Cdca8/Cenpa/Pmf1/Nup43/Cenpk/Spc24/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20",27
"R-MMU-69618","Mitotic Spindle Checkpoint","29/524","107/8772",2.32619077198674e-12,2.65850373941342e-10,2.31219864704246e-10,"Bub1b/Anapc15/Kif18a/Cenpm/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Itgb3bp/Sgo2a/Mad2l1/Nup37/Nup107/Cenpe/Cdca8/Cenpa/Pmf1/Nup43/Cenpk/Spc24/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20/Ube2c",29
"R-MMU-68886","M Phase","58/524","381/8772",2.10261488465267e-11,2.10261488465267e-09,1.82872162994134e-09,"Ccnb2/Bub1b/Tubb2a/Cdk1/Ncapd2/Mastl/Anapc15/Kif18a/Fbxo5/Cenpm/Kif23/Cdca5/Ercc6l/Lmnb1/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/H2bc13/Ncaph/Itgb3bp/Cep135/H2afx/Haus4/Sgo2a/Mad2l1/Nup37/Nup107/Psmb3/H4c12/Cenpe/Pttg1/H2bc12/Haus8/Cdca8/Cenpa/Pmf1/Cep152/Nup43/Ccnb1/Cenpk/Spc24/Hist1h2an/Haus1/Psmb11/Tubb5/Ncapg/H3c4/B9d2/Sgo1/Ndc80/Birc5/Incenp/H2ac10/Cdc20/Ube2c/Kif20a",58
"R-MMU-5663220","RHO GTPases Activate Formins","31/524","132/8772",2.40899745814226e-11,2.14133107390423e-09,1.86239452611934e-09,"Bub1b/Diaph3/Tubb2a/Kif18a/Cenpm/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Itgb3bp/Sgo2a/Mad2l1/Nup37/Rhod/Nup107/Cenpe/Dvl1/Cdca8/Cenpa/Pmf1/Nup43/Cenpk/Spc24/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20",31
"R-MMU-2555396","Mitotic Metaphase and Anaphase","36/524","193/8772",6.42801137830472e-10,5.14240910264378e-08,4.47254265374676e-08,"Bub1b/Tubb2a/Anapc15/Kif18a/Fbxo5/Cenpm/Cdca5/Ercc6l/Lmnb1/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Itgb3bp/Sgo2a/Mad2l1/Nup37/Nup107/Psmb3/Cenpe/Pttg1/Cdca8/Cenpa/Pmf1/Nup43/Cenpk/Spc24/Psmb11/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20/Ube2c",36
"R-MMU-2467813","Separation of Sister Chromatids","34/524","182/8772",1.8711206863823e-09,1.36039208760548e-07,1.18318311829898e-07,"Bub1b/Tubb2a/Anapc15/Kif18a/Cenpm/Cdca5/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Itgb3bp/Sgo2a/Mad2l1/Nup37/Nup107/Psmb3/Cenpe/Pttg1/Cdca8/Cenpa/Pmf1/Nup43/Cenpk/Spc24/Psmb11/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20/Ube2c",34
"R-MMU-68882","Mitotic Anaphase","35/524","192/8772",2.12478600975952e-09,1.36039208760548e-07,1.18318311829898e-07,"Bub1b/Tubb2a/Anapc15/Kif18a/Cenpm/Cdca5/Ercc6l/Lmnb1/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/Itgb3bp/Sgo2a/Mad2l1/Nup37/Nup107/Psmb3/Cenpe/Pttg1/Cdca8/Cenpa/Pmf1/Nup43/Cenpk/Spc24/Psmb11/B9d2/Sgo1/Ndc80/Birc5/Incenp/Cdc20/Ube2c",35
"R-MMU-195258","RHO GTPase Effectors","47/524","310/8772",2.21063714235891e-09,1.36039208760548e-07,1.18318311829898e-07,"Bub1b/Cdc25c/Diaph3/Tubb2a/Kif18a/Cenpm/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Aurkb/H2bc13/Itgb3bp/Prc1/H2afx/Cit/Sgo2a/Mad2l1/Nup37/Rhod/Nup107/H4c12/Cenpe/Sfn/H2bc12/Dvl1/Cdca8/Cenpa/Pmf1/Nf2/Nup43/Kif14/Iqgap2/Cenpk/Arpc1b/Spc24/Hist1h2an/Cftr/H3c4/B9d2/Sgo1/Ndc80/Birc5/Incenp/H2ac10/Cdc20",47
"R-MMU-194315","Signaling by Rho GTPases","56/524","428/8772",1.54051176067221e-08,8.80292434669834e-07,7.65622762258896e-07,"Bub1b/Cdc25c/Racgap1/Diaph3/Tubb2a/Depdc1b/Kif18a/Cenpm/Ercc6l/Nuf2/Cenpf/Xpo1/Plk1/Arhgap11a/Aurkb/H2bc13/Arhgef3/Itgb3bp/Prc1/Pik3r2/H2afx/Cit/Sgo2a/Mad2l1/Nup37/Rhod/Nup107/H4c12/Cenpe/Arhgef18/Sfn/H2bc12/Dvl1/Cdca8/Cenpa/Pmf1/Nf2/Nup43/Kif14/Plekhg5/Iqgap2/Cenpk/Arpc1b/Spc24/Hist1h2an/Vav2/Cftr/H3c4/Arhgef6/B9d2/Sgo1/Ndc80/Birc5/Incenp/H2ac10/Cdc20",56
"R-MMU-390522","Striated Muscle Contraction","13/524","33/8772",2.01922888359487e-08,1.0769220712506e-06,9.36638801442953e-07,"Actn2/Tnni2/Actc1/Tnnc1/Tnnt2/Myh6/Tnni3/Tnnc2/Myh3/Acta1/Tcap/Myl1/Tnni1",13
"R-MMU-69306","DNA Replication","25/524","123/8772",4.84413755170925e-08,2.42206877585463e-06,2.10656244847356e-06,"Rfc5/Mcm6/Cdc6/Anapc15/Ccna2/Prim1/Gins2/Mcm10/Skp2/Lig1/Rpa3/Pcna/Prim2/Psmb3/Pola2/Mcm5/Fzr1/Rfc3/Mcm4/Gmnn/Psmb11/Gins1/Pole3/Mcm3/Ube2c",25
"R-MMU-68962","Activation of the pre-replicative complex","12/524","30/8772",5.8521817762919e-08,2.7539678947256e-06,2.39522734001792e-06,"Mcm6/Cdc6/Prim1/Mcm10/Rpa3/Prim2/Pola2/Mcm5/Mcm4/Gmnn/Pole3/Mcm3",12
"R-MMU-69190","DNA strand elongation","10/524","22/8772",1.78935282530773e-07,7.95267922358991e-06,6.91673811420122e-06,"Rfc5/Prim1/Gins2/Lig1/Rpa3/Pcna/Prim2/Pola2/Rfc3/Gins1",10
"R-MMU-69239","Synthesis of DNA","23/524","115/8772",2.27908991964238e-07,9.59616808270474e-06,8.34614092456294e-06,"Rfc5/Mcm6/Cdc6/Anapc15/Ccna2/Prim1/Gins2/Skp2/Lig1/Rpa3/Pcna/Prim2/Psmb3/Pola2/Mcm5/Fzr1/Rfc3/Mcm4/Psmb11/Gins1/Pole3/Mcm3/Ube2c",23
"R-MMU-176408","Regulation of APC/C activators between G1/S and early anaphase","11/524","28/8772",2.63646509229009e-07,1.05458603691604e-05,9.17212329475659e-06,"Bub1b/Cdk1/Anapc15/Fbxo5/Ccna2/Plk1/Mad2l1/Fzr1/Ccnb1/Cdc20/Ube2c",11
"R-MMU-73886","Chromosome Maintenance","22/524","109/8772",3.53659064202e-07,1.34727262553143e-05,1.17177263878457e-05,"Rfc5/Cenpm/Mis18bp1/Prim1/Lig1/Rpa3/H2bc13/Itgb3bp/Pcna/H2afx/Prim2/H4c12/Pola2/H2bc12/Rfc3/Cenpa/Cenpk/Acd/Mis18a/Hist1h2an/Pole3/H2ac10",22
