"","M121_Smoke","M191_Smoke","M205_Smoke","M207_Smoke","M443_Smoke","M447_Smoke","F195_Smoke","F197_Smoke","F201_Smoke","F202_Smoke","F444_Smoke","F445_Smoke","M141_Control","M187_Control","M307_Control","M386_Control","M421_Control","F181_Control","F301_Control","F381_Control","F427_Control"
"17219670",0.917982974035252,1.17089876734217,1.31351164976988,0.942031114220875,1.46348746958246,1.45598303687202,1.5227573326978,1.02310961259095,1.12803632065249,1.12803632065249,1.78804159859479,1.34802097301266,1.16613559042066,1.89446499233281,1.17089876734217,0.987645245010517,1.32626299148251,1.43104198600197,0.808096234074441,1.28017470707782,2.55704364216627
"17390614",3.15483965941605,2.729475947324,3.30445456227968,2.75667052122609,2.1977819764488,2.73334644655856,3.92864698863799,2.07295888988614,2.10311026507217,3.19911517205154,2.78534489959872,2.73619201265239,2.36546273829426,3.10459691233631,2.80688363103698,2.45451640867865,2.51478600882509,2.73872895970275,2.55828100554615,2.1637970009554,3.21913073363955
"17497975",4.11199164160961,4.83501044022565,4.75924455748316,4.26084879072949,4.12884936752345,4.47945075324585,4.67576011945067,4.36728065595135,4.36473425904846,4.79092340333839,4.56135883979486,4.22964075112507,4.75906013009684,4.2847774459079,4.64792546066185,4.55211784575176,4.49857836494211,4.50476574209143,4.74478178558587,4.90774849331931,3.84529986675878
"17302724",7.92374138002608,7.75352268561455,7.65884457121735,7.46475828848777,7.95286040823192,7.46750823858973,7.05717672823115,7.48583749714834,7.7430523224297,7.48774747598857,7.78859491475495,7.94213627059992,8.04355611405004,8.174478006061,7.78859491475495,7.78923876586632,7.93736662482861,7.9060994383532,7.90518662513307,7.83044036648102,7.93317451127008
"17340631",2.31062473829541,1.44681522170072,1.74425002239657,1.49440780446626,1.75082705409478,1.95872989659662,1.74740979397513,2.4610864375483,1.79819936074599,1.66349679116593,1.17833426480974,1.5366845297814,1.84175921932147,2.49594277796652,1.90764274755859,1.16507188334854,3.45463770393023,1.32289424380737,2.01212780134392,1.31282404004292,2.84948344781644
"17460681",2.61188338139005,2.45613162574145,2.1479345566653,2.23673039918783,2.74799762409728,3.33748970274373,2.75928947855536,2.72549278281086,2.97681442764875,3.2255572246296,2.69474077624195,2.72549278281086,2.91597373119221,2.36559494285944,3.15005403722446,3.00803742974398,3.30750669570895,3.07532197508888,2.7976839604895,2.80381421061216,2.5440531635279
"17277919",1.36538001453877,1.31848422652789,1.36529295067387,2.14867460756527,1.54604796818953,1.86589297508574,1.42218878341663,1.78318878705886,1.36645568571705,1.50358974199899,1.38440265132791,1.83608335777374,1.44174602759138,1.64449242201827,1.80304695087283,1.32861537307554,1.71909619978707,2.19407776804085,1.21764644817906,1.47787816799089,1.54224141430741
"17506270",1.98425647590231,1.35804315542513,1.84899992231165,1.90262332365444,1.87653908758907,1.65934740037922,1.80850104216154,1.31458016104217,1.41348863135829,1.71036880149844,1.51987515791374,1.68574080221461,1.58661628737609,1.55456982022968,2.07035984914824,1.40931813240673,1.78437331219513,1.71393805774559,1.76485385467678,1.31005346461736,2.00235016535694
"17327130",3.66312579692563,3.57646555109129,3.94062467666582,3.90227539420824,3.35864241882269,3.51582355846248,3.5590772834453,3.6701507766716,3.41320391437264,3.10020293164719,3.99211971449314,3.19129079021868,3.79420585201158,3.90868130266875,3.49140198775364,3.31849648654615,3.13056944151431,3.07801305274178,3.76875860519002,3.53470985821772,3.29447948039105
"17514754",1.26262561871898,1.81980155227891,1.4935445943881,1.54599290312475,2.59411138108836,1.51028089333657,1.24291781653709,2.02951636973557,1.40940283544333,1.54599290312475,1.23767430119438,1.94076879778023,1.54599290312475,1.43729837289283,1.49980882979428,1.77833366981811,1.24025233090896,1.54599290312475,1.83249586054846,1.56658436364649,1.61552431480695
