"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17211000","Rrs1","59014","ribosome biogenesis regulator 1",0.0407407533704633,4.51226611981066,0.201780558813963,0.841592054385113,0.985338674579092,-5.156950175134
"2","17211004","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",0.131877207285618,4.27742389062544,0.562035455763647,0.578701322514417,0.936015017058281,-5.06019096333578
"3","17211198","Sulf1","240725","sulfatase 1",-0.217019067778289,4.29362616716321,-0.776324601488962,0.444266050229605,0.900605359269226,-4.96069344146526
"4","17211347","Tfap2b","21419","transcription factor AP-2 beta",-0.154423508297904,1.47327574705442,-0.817734918890753,0.420625051637377,0.89186432721085,-4.93798451642222
"5","17211441","Mir30a","387225","microRNA 30a",0.0716555558959344,1.19785480160152,0.387535432989889,0.701380404896753,0.95974959046758,-5.11830336037603
"6","17211568","1700001G17Rik","67503","RIKEN cDNA 1700001G17 gene",-0.303247744496635,2.71811578112868,-1.41596252876738,0.168153416731651,0.751171241932302,-4.49307907223609
"7","17211752","Arhgef4","226970","Rho guanine nucleotide exchange factor (GEF) 4",-0.10193595965262,2.07826718683661,-0.514095831743425,0.611342942328601,0.940297522369048,-5.07823414628424
"8","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",-0.0560005418230238,4.55932613061555,-0.293183721625526,0.771610292952803,0.976639295094499,-5.14095335283618
"9","17211822","Cnnm4","94220","cyclin M4",0.152001371174171,4.08726998410088,0.725104414082933,0.474589610723573,0.915116304423857,-4.98723985816657
"10","17211998","Mrpl30","107734","mitochondrial ribosomal protein L30",-0.0274274033665671,3.46757672412665,-0.139894569613476,0.889775605386748,0.992966261149397,-5.1644387927104
"11","17212045","Gm5099","329123","predicted gene 5099",0.161042875701494,1.61113695914287,1.03679657386738,0.308974170993456,0.848320901043487,-4.7997748651095
"12","17212087","Npas2","18143","neuronal PAS domain protein 2",0.468847070617658,4.52343608588388,2.32454779961464,0.0278134673821255,0.56677035063372,-3.47466380724805
"13","17212135","D930019O06Rik","425051","RIKEN cDNA D930019O06",0.188427254423648,2.0137288744707,0.898891925771691,0.37661098594065,0.875960572044047,-4.89028973712783
"14","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",-0.203972953189766,3.0701860825716,-0.887075459396212,0.382826578221085,0.87806815854614,-4.89749440180511
"15","17212301","Tmem182","381339","transmembrane protein 182",0.0393632318868777,1.99203443300601,0.19828908878434,0.844295696299346,0.985512957360113,-5.15744463642949
"16","17212442","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",0.104024752838116,5.24559525334203,0.581997639805064,0.565368579556296,0.933135001305757,-5.05221792023706
"17","17212548","Dnah7b","227058","dynein, axonemal, heavy chain 7B",-0.000595874528828588,2.86903783967168,-0.00218237423608644,0.998274670096254,0.999963315838094,-5.17137496691532
"18","17212619","Dnah7c","100101919","dynein, axonemal, heavy chain 7C",-0.0983140287111415,1.64385051834143,-0.470499330279663,0.64175502463678,0.946284605611358,-5.09328110823615
"19","17212750","Stat1","20846","signal transducer and activator of transcription 1",0.405260988596337,4.71908624115745,2.07252682514571,0.0478310876276311,0.615377006137594,-3.79039492440785
"20","17212840","Ccdc150","78016","coiled-coil domain containing 150",0.205989320108536,1.83930828427785,0.945291414196697,0.352844754256948,0.872612498656218,-4.86115066141628
