"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17211000","Rrs1","59014","ribosome biogenesis regulator 1",0.0452737342832608,4.51226611981066,0.239031560269996,0.812875703518113,0.967742038537048,-5.12408626157014
"2","17211004","Adhfe1","76187","alcohol dehydrogenase, iron containing, 1",0.257695924526226,4.27742389062544,1.17073927021355,0.251873782931777,0.789423082446045,-4.68576701065612
"3","17211198","Sulf1","240725","sulfatase 1",0.225392668015316,4.29362616716321,0.859496086894881,0.39759015610141,0.856205113301059,-4.89318240232391
"4","17211347","Tfap2b","21419","transcription factor AP-2 beta",-0.0164111679288632,1.47327574705442,-0.0926397302798334,0.926869770045922,0.991616070383283,-5.14082918368855
"5","17211441","Mir30a","387225","microRNA 30a",0.142338893003293,1.19785480160152,0.820623208220783,0.419005714326061,0.864043002797674,-4.91497933717995
"6","17211568","1700001G17Rik","67503","RIKEN cDNA 1700001G17 gene",-0.220912748673066,2.71811578112868,-1.09959719798432,0.281159442079001,0.804228135675934,-4.73819268647451
"7","17211752","Arhgef4","226970","Rho guanine nucleotide exchange factor (GEF) 4",-0.0328983458615157,2.07826718683661,-0.176868052078517,0.86092441652716,0.979505126239571,-5.13299648640001
"8","17211790","Hs6st1","50785","heparan sulfate 6-O-sulfotransferase 1",-0.0333745031031167,4.55932613061555,-0.186260642533283,0.853624639218082,0.977645806452979,-5.13182037194932
"9","17211822","Cnnm4","94220","cyclin M4",-0.0577120725164217,4.08726998410088,-0.293479910433814,0.771386332943984,0.965691270991188,-5.11410709022994
"10","17211998","Mrpl30","107734","mitochondrial ribosomal protein L30",0.0645771975018339,3.46757672412665,0.351118749049087,0.728208479113909,0.958963051238244,-5.10134029328875
"11","17212045","Gm5099","329123","predicted gene 5099",0.121979325515213,1.61113695914287,0.837137752640406,0.409821328924778,0.863621167108851,-4.90583414261875
"12","17212087","Npas2","18143","neuronal PAS domain protein 2",0.106774915224159,4.52343608588388,0.56433264458493,0.57715911157844,0.910416070949561,-5.03464958268668
"13","17212135","D930019O06Rik","425051","RIKEN cDNA D930019O06",-0.122721288786356,2.0137288744707,-0.624082968664151,0.537780417843485,0.894857321262962,-5.01054459216438
"14","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",0.0119889123862107,3.0701860825716,0.0555810096160498,0.956082467697036,0.994446288269264,-5.14272581002865
"15","17212301","Tmem182","381339","transmembrane protein 182",0.282733496427823,1.99203443300601,1.51825246969354,0.14050668766382,0.717477992512132,-4.39011130822512
"16","17212442","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",0.0341592748702935,5.24559525334203,0.203728523519129,0.840084490182882,0.972513391782779,-5.12947188850665
"17","17212548","Dnah7b","227058","dynein, axonemal, heavy chain 7B",-0.0590691421250211,2.86903783967168,-0.230618281672202,0.81933975657753,0.968447579203245,-5.12544730137372
"18","17212619","Dnah7c","100101919","dynein, axonemal, heavy chain 7C",0.0360101038995793,1.64385051834143,0.183707359515372,0.855607730917431,0.978794331855323,-5.1321460889903
"19","17212750","Stat1","20846","signal transducer and activator of transcription 1",0.269033720371302,4.71908624115745,1.46666437171187,0.153951891548014,0.720824366132382,-4.43795402496362
"20","17212840","Ccdc150","78016","coiled-coil domain containing 150",0.241382161780652,1.83930828427785,1.18082311372052,0.247911167026023,0.786889580711676,-4.67810380637994
"21","17212882","Hspe1","15528","heat shock protein 1 (chaperonin 10)",-0.175114827363275,2.1534003765229,-0.914159307900758,0.368678091103182,0.843482824708731,-4.86095081526785
"22","17212908","Plcl1","227120","phospholipase C-like 1",0.0948034916478702,2.26509275472888,0.50760470454077,0.615828209490792,0.92376357456835,-5.05535846501956
"23","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",0.0015477598968725,2.54233831051884,0.00746430530511224,0.994098960870586,0.998854236128579,-5.14377347393615
"24","17212970","Sgo2a","68549","shugoshin 2A",-0.596833584073936,3.90231418182892,-2.23218963135887,0.0340429888789489,0.632461002481502,-3.60892219031642
"25","17212982","Aox1","11761","aldehyde oxidase 1",-0.0620442659545093,2.57415662414878,-0.322374778376649,0.749637330148283,0.964237125431985,-5.10798947676918
"26","17213021","Aox3","71724","aldehyde oxidase 3",-0.0733774782725458,4.36611082326931,-0.342623839566292,0.734519092968502,0.961018538103144,-5.1033637882906
"27","17213490","Icos","54167","inducible T cell co-stimulator",-0.0347742036900189,1.32763342848828,-0.219274786004915,0.82807562506775,0.971411997215761,-5.12720556498484
"28","17213503","9530026F06Rik","77341","RIKEN cDNA 9530026F06 gene",0.0814851696643366,1.69633461534554,0.455541805017282,0.65234077073456,0.938106635571577,-5.07248165558643
"29","17213598","Zdbf2","73884","zinc finger, DBF-type containing 2",-0.000813955459031845,2.70898239562898,-0.00442073273549813,0.99650508937531,0.998854236128579,-5.1437859676128
